City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Gilgit,PK,35.9221,74.3087,53.83,68,100,2.59,overcast clouds
206,Aklavik,CA,68.2191,-135.0107,22.03,100,75,4.61,mist
207,Yulara,AU,-25.2406,130.9889,60.64,51,0,8.05,clear sky
208,Sokoni,TZ,-6.4333,39.55,78.66,76,0,9.69,clear sky
209,Keningau,MY,5.3378,116.1602,73.85,99,100,0.45,overcast clouds
210,Olinda,BR,-8.0089,-34.8553,82.13,69,20,9.22,few clouds
211,Daru,PG,-9.0763,143.2092,79.23,86,83,9.6,broken clouds
212,Bilma,NE,18.6853,12.9164,87.37,11,4,7.54,clear sky
213,Clyde River,CA,70.4692,-68.5914,12.72,79,69,5.75,broken clouds
214,Aksu,CN,41.1231,80.2644,49.01,42,0,4.45,clear sky
215,Bairiki,KI,1.3292,172.9752,78.8,83,20,0.0,few clouds
216,Polis,CY,35.0367,32.4264,66.02,85,0,0.98,clear sky
217,Burnie,AU,-41.0667,145.9167,43.95,71,18,6.64,few clouds
218,Picos,BR,-7.0769,-41.4669,90.43,41,95,3.06,overcast clouds
219,Nioki,CD,-2.7167,17.6833,72.57,94,17,1.74,light rain
220,Vredendal,ZA,-31.6683,18.5012,63.72,57,0,7.85,clear sky
221,Les Cayes,HT,18.2,-73.75,84.13,67,23,9.84,few clouds
222,Minudasht,IR,37.2289,55.3747,59.07,73,72,2.62,broken clouds
223,Fort Saint James,CA,54.4333,-124.25,46.47,68,93,5.61,overcast clouds
224,Maralal,KE,1.0968,36.698,64.35,63,64,13.53,broken clouds
225,Abhar,IR,36.1468,49.218,48.4,64,0,4.61,clear sky
226,Oksfjord,NO,70.2396,22.3479,27.52,88,100,11.95,overcast clouds
227,Lavrentiya,RU,65.5833,-171.0,21.88,84,100,10.04,overcast clouds
228,Necochea,AR,-38.5473,-58.7368,65.3,44,3,10.36,clear sky
229,Palmer,US,42.1584,-72.3287,59.99,47,20,4.0,few clouds
230,Loandjili,CG,-4.7561,11.8578,80.71,83,90,10.36,overcast clouds
231,Bambanglipuro,ID,-7.95,110.2833,78.12,82,87,5.17,overcast clouds
232,Nchelenge,ZM,-9.3451,28.734,77.49,70,73,6.85,broken clouds
233,Flinders,AU,-34.5833,150.8552,56.8,86,3,1.01,clear sky
234,Baracoa,CU,20.3467,-74.4958,82.85,77,91,6.93,overcast clouds
235,Leh,IN,34.1667,77.5833,30.74,87,100,5.28,overcast clouds
236,Deputatskiy,RU,69.3,139.9,-0.92,98,100,1.21,overcast clouds
237,Ilulissat,GL,69.2167,-51.1,7.63,73,100,6.08,overcast clouds
238,Mitsamiouli,KM,-11.3847,43.2844,79.34,85,8,11.48,clear sky
239,Razole,IN,16.4833,81.8333,74.48,76,90,4.09,overcast clouds
240,Chuy,UY,-33.6971,-53.4616,68.29,48,0,11.16,clear sky
241,Riachao Das Neves,BR,-11.7461,-44.91,75.9,81,99,1.81,overcast clouds
242,Youkounkoun,GN,12.5333,-13.1333,83.64,64,94,1.54,overcast clouds
243,Abatskoye,RU,56.2875,70.4555,50.85,61,100,18.63,overcast clouds
244,Sao Filipe,CV,14.8961,-24.4956,79.63,67,27,8.03,scattered clouds
245,Ban Phai,TH,16.06,102.731,73.62,84,54,7.16,broken clouds
246,Sitka,US,57.0531,-135.33,46.29,66,40,3.44,scattered clouds
247,Bengkulu,ID,-3.8004,102.2655,75.47,89,100,5.37,moderate rain
248,Nanortalik,GL,60.1432,-45.2371,32.95,94,100,1.36,light snow
249,Liverpool,GB,53.4106,-2.9779,55.62,84,0,5.01,clear sky
250,Luderitz,NA,-26.6481,15.1594,61.75,63,0,13.38,clear sky
251,Hobyo,SO,5.3505,48.5268,79.88,80,88,11.16,overcast clouds
252,Cidreira,BR,-30.1811,-50.2056,67.14,54,0,10.94,clear sky
253,Luwuk,ID,-0.9516,122.7875,77.27,72,100,2.91,overcast clouds
254,Lagoa,PT,39.05,-27.9833,65.75,69,14,10.47,few clouds
255,The Valley,AI,18.217,-63.0578,84.34,79,40,16.11,scattered clouds
256,Santa Maria,BR,-29.6842,-53.8069,72.7,33,0,4.61,clear sky
257,Labuhan,ID,-6.8844,112.2051,78.69,83,56,6.38,broken clouds
258,Praia,CV,14.9215,-23.5087,79.34,73,20,19.57,few clouds
259,Saint-Philippe,RE,-21.3585,55.7679,72.99,85,43,15.99,scattered clouds
